Method,N_all,N_cont,Success (%),Δq (rad) mean,Δq (rad) std,Time (s) mean,Time (s) std,m_limit mean,m_limit std
IK-only,60,44,73.33333333333333,6.037501952864907,2.3181171012758854,2.057761858810078,1.725396596260583,0.5527752274224027,0.2835039791750808
L2,60,56,93.33333333333333,3.645227215756154,1.795035441449081,1.68087951200546,1.4461691966378365,0.7046880685462322,0.2941511485173651
