group,trial_id,csv_file,csv_row_idx,csv_delim,A,n,r,c,s,Z_obj,occ_infront,occ_ring,mask_extra,cam_x,cam_y,cam_z,candidates_size,ee_x,ee_y,ee_z,exec_ok,ik_fail_count,ik_success_count,planning_ok,planning_time_sec,reps_size,score,sel_best_mode_dq_exec,sel_best_mode_m_exec,sel_best_mode_m_limit,sel_best_mode_m_sing,sel_best_mode_score,selected_dq_exec,selected_idx_in_candidates,selected_psc,stamp,traj_points,trial_tag,use_comp,used_mode0_members
L1+L2,22,nbv_executor_action_mode_1772331501_507349.csv,0,COMMA,53,2802.0,1.00,1.000,0.333,0.641,0.409,0.120,0.443,-0.224532649,-0.2948789,0.363159269,6,-0.208023882,-0.295178408,0.579401072,1,3,3,1,1.354038239,9,3.216413345,7.293605328,1,1,1,1.801870584,3.417711578,1,0.503246725,1772331510,52,action_mode,1,1
L1+L2,23,nbv_executor_action_mode_1772326528_69398.csv,0,COMMA,34,3289.7,1.00,1.000,0.440,0.770,0.425,0.008,0.163,-0.2631361484527588,-0.10780011117458344,0.3830467164516449,2,-0.22870947611921819,-0.1838767553534409,0.5831973973117729,1,0,2,1,1.1779227256774902,6,2.484129851517118,3.2872071266174316,1.0,1.0,1.0,3.003105640411377,2.7644101322722845,1,0.7007299065589905,1772326541.9398878,37,action_mode,1,1
L1+L2,24,nbv_executor_action_mode_1772326688_83911.csv,0,COMMA,32,3296.7,1.00,1.000,0.440,0.770,0.424,0.007,0.165,-0.29476454854011536,-0.13752123713493347,0.3853830099105835,38,-0.2494771249899504,-0.20225822708286056,0.5873516163991171,1,2,36,1,1.2073404788970947,10,2.434814512863088,7.918778419494629,0.6817502975463867,0.6817502975463867,0.8835722804069519,2.481750249862671,2.693108648934848,11,0.6457286477088928,1772326699.7227945,35,action_mode,1,1
L1+L2,25,nbv_executor_action_mode_1772327309_147170.csv,0,COMMA,15,4223.7,1.00,1.000,0.544,0.763,0.334,0.018,0.270,-0.15461395680904388,-0.044214747846126556,0.3815248906612396,4,-0.16013145075075338,-0.09913401362939737,0.5912546646864834,1,1,3,1,1.4637658596038818,5,2.950673354264261,5.9750075340271,0.803427517414093,0.803427517414093,1.0,1.741078495979309,3.300017541990634,3,0.8733624219894409,1772327310.5573003,51,action_mode,1,1
L1+L2,26,nbv_executor_action_mode_1772327434_160607.csv,0,COMMA,32,4231.7,1.00,1.000,0.546,0.764,0.334,0.018,0.269,-0.2297188937664032,-0.02271837554872036,0.40257513523101807,1,-0.2049270060909607,-0.10440401916051918,0.6019390350209868,1,0,1,1,0.7970843315124512,6,2.5415646771831475,1.567440152168274,0.8060359954833984,0.8060359954833984,1.0,2.6060359477996826,2.541565518523875,0,nan,1772327443.2442656,35,action_mode,0,0
L1+L2,27,nbv_executor_action_mode_1772327597_178231.csv,0,COMMA,26,4247.5,1.00,1.000,0.545,0.763,0.334,0.022,0.282,-0.17810584604740143,-0.0010034447768703103,0.4062125086784363,27,-0.17441212469923,-0.0942011003692918,0.60200244718634,1,2,25,1,1.0229792594909668,5,-0.34396550655364994,nan,nan,nan,nan,nan,2.6398390930040607,8,0.8599137663841248,1772327598.602092,34,action_mode,1,1
L1+L2,28,nbv_executor_action_mode_1772327739_193490.csv,0,COMMA,32,4243.9,1.00,1.000,0.546,0.763,0.334,0.022,0.285,-0.18240571022033691,-0.06266922503709793,0.36065900325775146,6,-0.17951930035257835,-0.10136652605677789,0.574030355922812,1,0,6,1,0.7993502616882324,9,2.1698397320173406,6.6228251457214355,0.8679561614990234,0.8679561614990234,1.0,2.7761027812957764,2.5066893080234114,1,0.8421052694320679,1772327746.1836607,35,action_mode,1,1
L1+L2,29,nbv_executor_action_mode_1772327885_207794.csv,0,COMMA,36,4229.2,1.00,1.000,0.541,0.760,0.334,0.019,0.279,-0.2062498778104782,-0.03653619810938835,0.3818386495113373,1,-0.19333117497482372,-0.10085398823272876,0.5885497416107794,1,0,1,1,1.5221734046936035,8,2.8945265019480155,1.2898503541946411,0.7115253210067749,0.7115253210067749,1.0,2.111525297164917,2.894533430895263,0,nan,1772327892.9851944,37,action_mode,0,0
L1+L2,30,nbv_executor_action_mode_1772328076_227981.csv,0,COMMA,29,3554.9,1.00,1.000,0.840,0.963,0.455,0.018,0.191,-0.2851667106151581,-0.20055390894412994,0.3967962861061096,1,-0.22404434671954804,-0.26090351562251063,0.5959322401973473,1,0,1,1,1.4170854091644287,7,6.621676587504522,3.339871406555176,0.7292032837867737,0.7292032837867737,1.0,2.962538719177246,6.621669358169838,0,nan,1772328083.2088382,53,action_mode,0,0
L1+L2,31,nbv_executor_action_mode_1772328206_244691.csv,0,COMMA,31,3547.9,1.00,1.000,0.838,0.963,0.455,0.018,0.192,-0.2632844150066376,-0.24882109463214874,0.3637557029724121,6,-0.23057826221212388,-0.2747375028200891,0.5765743909729453,1,0,6,1,1.4082632064819336,6,2.886924814660676,3.361400842666626,1.0,1.0,1.0,2.4000000953674316,3.144347117034594,4,0.6435643434524536,1772328216.2870352,37,action_mode,1,1
